time (ms),pressure (kPa)
523.415,98.63412
523.729,98.63208
524.047,98.63909
524.361,98.64118
524.675,98.64119
524.989,98.65185
525.307,98.6445
525.621,98.64055
525.935,98.64263
526.249,98.63425
526.881,98.96508
527.195,98.65288
527.509,98.65582
527.838,98.64658
528.152,98.63123
528.466,98.6393
528.78,98.6331
529.098,98.64948
529.412,98.65185
529.726,98.64683
530.04,98.65072
530.358,98.64267
530.672,98.6456
530.986,98.63341
531.3,98.64884
531.618,98.63727
531.932,98.64843
532.246,98.6472
532.56,98.64457
532.89,98.64334
533.204,98.65343
533.518,98.64027
533.832,98.64843
534.15,98.64619
534.464,98.64773
534.778,98.64537
535.092,98.65691
535.41,98.64829
535.724,98.64679
536.038,98.65112
536.352,98.64737
536.67,98.65172
536.984,98.64952
537.298,98.64807
537.612,98.64605
537.93,98.6459
538.244,98.63605
538.558,98.64448
538.872,98.64601
539.19,98.6467
539.504,98.6509
539.818,98.6462
540.132,98.64783
540.45,98.65341
540.764,98.65206
541.078,98.64609
541.392,98.65177
541.71,98.65327
542.024,98.64952
542.338,98.65251
542.652,98.6462
542.97,98.64922
543.284,98.64934
543.598,98.65247
543.912,98.63133
544.23,98.64496
544.544,98.64132
544.858,98.65541
545.172,98.65204
545.49,98.64868
545.804,98.64872
546.118,98.64119
546.432,98.64048
546.75,98.64259
547.064,98.64523
547.378,98.64863
547.692,98.64708
548.01,98.63925
548.324,98.64708
548.638,98.62976
548.952,98.64872
549.27,98.65076
549.584,98.64944
549.898,98.65409
550.212,98.6445
550.53,98.64907
550.844,98.65189
551.158,98.65584
551.472,98.6517
551.79,98.64455
552.104,98.65983
552.418,98.64827
552.732,98.65005
553.05,98.64509
553.364,98.6367
553.678,98.65327
553.992,98.64185
554.31,98.64855
554.624,98.6453
554.938,98.65007
555.252,98.64848
555.57,98.65199
555.884,98.65541
556.198,98.6503
556.512,98.64747
556.83,98.64982
557.144,98.65441
557.458,98.64824
557.772,98.65234
558.09,98.64699
558.404,98.64856
558.718,98.64614
559.032,98.6337
559.35,98.65722
559.664,98.6497
559.978,98.64391
560.292,98.64453
560.61,98.65941
560.924,98.64484
561.238,98.64355
561.552,98.65085
561.87,98.64866
562.184,98.64134
562.498,98.64687
562.812,98.6462
563.13,98.64535
563.444,98.63445
563.758,98.64898
564.072,98.64685
564.39,98.64516
